timestamp,traffic_volume,response_time
2026-06-01 00:00:00,351.21382965093767,39.683668113483115
2026-06-01 00:05:00,387.48138982688386,55.99857035720664
2026-06-01 00:10:00,538.8818910263714,46.73956650907734
2026-06-01 00:15:00,,53.17761425914463
2026-06-01 00:20:00 (UTC),611.2634305203302,23.851671987781792
2026-06-01 00:25:00 (UTC),492.8879709169664,56.90023477408571
01/06/2026 00:30:00,508.55947039445255,44.07995123702365
2026-06-01 00:35:00,,39.9474190820516
2026-06-01 00:40:00,577.2847838543723,36.62324722364142
2026-06-01 00:45:00,578.315988777701,40.80146342877388
,533.5054351912172,45.72137277650218
2026-06-01 00:55:00,556.4789105907648,58.88704586999094
2026-06-01 01:00:00,478.7910330079574,45.56289087974842
corrupted_timestamp,554.2203006909049,59.8272773053727
2026-06-01 01:10:00 (UTC),466.2122224526193,52.92151928841191
2026-06-01 01:15:00 (UTC),500.2231622162402,68.19325560404471
2026-06-01 01:20:00,,44.99076614821834
2026-06-01 01:25:00,454.2781460680804,54.13728395237226
2026-06-01 01:30:00,431.088820227821,62.4881412893262
2026-06-01 01:35:00,546.7690103858886,
2026-06-01 01:40:00,631.0605912813463,48.29711945186879
ERR-2026-06-01 01:45:00,617.1101971669559,45.12404620891152
2026-06-01 01:50:00,374.34346640545647,30.56337835919292
2026-06-01 01:55:00,628.9203051406873,47.60445956708459
2026-06-01 02:00:00,468.18414983820713,40.775676868105194
2026-06-01 02:05:00,560.0733015145591,44.582531754262796
2026-06-01 02:10:00 (UTC),409.3784667952789,50.516682491006094
2026-06-01 02:15:00,514.1979913874005,34.3890033375293
2026-06-01 02:20:00,531.3723182896907,40.071807036747735
,351.5395208080347,53.873518853799546
2026-06-01 02:30:00,560.826716634419,37.34986702083505
2026-06-01 02:35:00 (UTC),634.5935007838316,49.54790202911659
01/06/2026 02:40:00,,35.98320243995048
2026-06-01 02:45:00,636.0168130828013,55.263259631310035
2026-06-01 02:50:00,481.03065065475926,56.570994005785124
2026-06-01 02:55:00,584.9584531046618,62.34918370553291
2026-06-01 03:00:00,278.14300340489,62.45193288530892
01/06/2026 03:05:00,741.8777779313464,
2026-06-01 03:10:00,649.5458245242958,32.38316039308882
2026-06-01 03:15:00,471.5374495746321,50.020899312618134
ERR-2026-06-01 03:20:00,5401.625621116149,54.57917889036342
2026-06-01 03:25:00,,
,355.60744529262433,66.6275486276572
2026-06-01 03:35:00,544.4853537557487,1768.025780321242
2026-06-01 03:40:00,541.1565719164282,50.26203203586719
2026-06-01 03:45:00,405.8596830997975,57.4577975797225
2026-06-01 03:50:00,612.0967023614378,35.336046704612656
2026-06-01 03:55:00,580.5574702806174,51.89185691076285
2026-06-01 04:00:00,597.5823337288564,37.36191224292732
2026-06-01 04:05:00 (UTC),500.8857703668895,48.2094148889073
